,player,team,games,position,recTarg,recRec,recRec40s,recYds,recYds100Games,recTds,recTd40s,recDrops,catch,depth,ypt,ypr,rac,rushCarries,rush40s,rushYds,rushYds100Games,rushTds,rushTd40s,ypc,yac,rushTa,fantasyPts,ptsPerSnap,ptsPerTouch,year
0,Vyncint Smith,HST,6,WR,9,5,0,91,0,1,0,1,55.6,23.33,10.11,18.2,0.8,0,0,0,0,0,0,0.0,0.0,0,14.6,0.1,3.52,2018
1,Keelan Cole,JAX,16,WR,64,38,0,491,1,1,0,6,59.4,10.19,7.67,12.92,3.63,0,0,0,0,0,0,0.0,0.0,0,5.6,0.11,1.95,2018
2,Derrick Willies,CLV,4,WR,5,3,0,61,0,0,0,0,60.0,11.8,12.2,20.33,11.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.25,2.53,2018
3,D.J. Moore,CAR,16,WR,76,54,3,781,1,2,1,4,71.1,9.62,10.28,14.46,7.91,13,0,172,0,0,0,13.23,7.77,6,66.7,0.18,2.0,2018
4,Calvin Ridley,ATL,16,WR,91,64,4,821,1,10,3,8,70.3,10.38,9.02,12.83,5.73,5,0,24,0,0,0,4.8,3.0,1,0.0,0.27,2.56,2018
5,Robert Foster,BUF,13,WR,44,27,4,541,3,3,2,1,61.4,20.95,12.3,20.04,5.93,0,0,0,0,0,0,0.0,0.0,0,191.1,0.19,3.17,2018
6,Auden Tate,CIN,6,WR,12,4,0,35,0,0,0,1,33.3,10.83,2.92,8.75,0.75,0,0,0,0,0,0,0.0,0.0,0,160.6,0.07,1.38,2018
7,Courtland Sutton,DEN,16,WR,79,42,3,704,0,4,0,9,53.2,15.57,8.91,16.76,3.98,1,0,-1,0,0,0,-1.0,2.0,0,189.0,0.14,2.68,2018
8,Allen Lazard,GB,1,WR,1,1,0,7,0,0,0,0,100.0,5.0,7.0,7.0,2.0,0,0,0,0,0,0,0.0,0.0,0,163.5,1.2,1.2,2018
9,Dante Pettis,SF,11,WR,40,27,1,467,1,5,1,1,67.5,12.13,11.68,17.3,7.93,1,0,-2,0,0,0,-2.0,1.0,0,10.8,0.2,3.21,2018
10,Antonio Callaway,CLV,16,WR,78,43,3,586,0,5,1,6,55.1,14.51,7.51,13.63,5.42,2,0,7,0,0,0,3.5,0.5,0,162.9,0.14,2.46,2018
11,Malik Turner,SEA,6,WR,2,2,0,20,0,0,0,0,100.0,3.0,10.0,10.0,7.0,0,0,0,0,0,0,0.0,0.0,0,62.4,0.07,1.5,2018
12,Trent Sherfield,ARZ,9,WR,27,19,0,210,0,1,0,1,70.4,11.0,7.78,11.05,1.95,0,0,0,0,0,0,0.0,0.0,0,44.3,0.11,1.92,2018
13,James Washington,PIT,14,WR,36,16,1,217,0,1,0,1,44.4,17.33,6.03,13.56,3.44,0,0,0,0,0,0,0.0,0.0,0,184.9,0.07,2.23,2018
14,Christian Kirk,ARZ,12,WR,65,43,2,590,0,3,2,3,66.2,10.03,9.08,13.72,5.33,3,0,35,0,0,0,11.67,1.0,0,12.9,0.19,2.22,2018
15,Russell Gage,ATL,10,WR,10,6,0,63,0,0,0,2,60.0,10.2,6.3,10.5,3.5,0,0,0,0,0,0,0.0,0.0,0,1.1,0.15,1.55,2018
16,Chris Lacy,DET,1,WR,1,0,0,0,0,0,0,0,0.0,10.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,1.7,0.0,0.0,2018
17,Richie James Jr.,SF,11,WR,13,9,1,130,0,1,0,1,69.2,4.85,10.0,14.44,11.33,0,0,0,0,0,0,0.0,0.0,0,0.0,0.12,2.61,2018
18,KhaDarel Hodge,LA,13,WR,3,2,0,17,0,0,0,0,66.7,7.67,5.67,8.5,0.0,0,0,0,0,0,0,0.0,0.0,0,8.0,0.03,1.35,2018
19,Michael Gallup,DAL,16,WR,66,33,2,507,0,2,1,3,50.0,14.38,7.68,15.36,5.09,0,0,0,0,0,0,0.0,0.0,0,162.1,0.11,2.4,2018
20,Marcell Ateman,OAK,7,WR,30,15,0,154,0,1,0,2,50.0,11.97,5.13,10.27,2.27,0,0,0,0,0,0,0.0,0.0,0,113.5,0.08,1.93,2018
21,Victor Bolden Jr.,BUF,4,WR,4,1,0,10,0,0,0,0,25.0,12.75,2.5,10.0,1.0,0,0,0,0,0,0,0.0,0.0,0,187.3,0.02,1.5,2018
22,Keon Hatcher,OAK,2,WR,2,1,0,8,0,0,0,0,50.0,7.0,4.0,8.0,8.0,0,0,0,0,0,0,0.0,0.0,0,4.7,0.22,1.3,2018
23,Bobo Wilson,TB,5,WR,5,4,0,52,0,0,0,0,80.0,10.8,10.4,13.0,5.0,0,0,0,0,0,0,0.0,0.0,0,34.1,0.1,1.8,2018
24,Malachi Dupre,ARZ,1,WR,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,5.8,0.0,0.0,2018
25,Noah Brown,DAL,8,WR,8,5,0,54,0,0,0,0,62.5,10.25,6.75,10.8,4.2,0,0,0,0,0,0,0.0,0.0,0,30.9,0.08,1.58,2018
26,David Moore,SEA,16,WR,50,26,2,445,1,5,0,2,52.0,16.88,8.9,17.12,3.42,1,0,5,0,0,0,5.0,4.0,2,104.5,0.14,3.26,2018
27,Josh Malone,CIN,9,WR,4,1,0,12,0,0,0,1,25.0,9.5,3.0,12.0,0.0,0,0,0,0,0,0,0.0,0.0,0,29.0,0.02,1.7,2018
28,Chad Williams,ARZ,10,WR,42,17,0,171,0,1,0,3,40.5,13.64,4.07,10.06,1.06,1,0,9,0,0,0,9.0,9.0,0,35.5,0.08,1.81,2018
29,Taywan Taylor,TEN,13,WR,55,37,2,466,1,1,0,5,67.3,13.58,8.47,12.59,4.73,0,0,0,0,0,0,0.0,0.0,0,76.8,0.16,1.92,2018
30,Zay Jones,BUF,16,WR,99,56,1,652,0,7,0,3,56.6,13.11,6.59,11.64,2.32,1,0,0,0,0,0,0.0,4.0,0,0.0,0.14,2.37,2018
31,Jaydon Mickens,JAX,1,WR,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,27.9,0.0,0.0,2018
32,Max McCaffrey,SF,1,WR,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,4.4,0.0,0.0,2018
33,Johnny Holton,OAK,1,WR,1,0,0,0,0,0,0,0,0.0,40.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,179.7,0.0,0.0,2018
34,Geronimo Allison,GB,5,WR,28,20,1,303,0,2,1,3,71.4,13.32,10.82,15.15,5.65,0,0,0,0,0,0,0.0,0.0,0,146.0,0.22,2.61,2018
35,Alonzo Russell,NYG,1,WR,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,14.1,0.0,0.0,2018
36,Maurice Harris,WAS,12,WR,44,28,1,304,1,0,0,1,63.6,11.09,6.91,10.86,3.18,2,0,10,0,0,0,5.0,1.0,0,0.0,0.1,1.51,2018
37,Mose Frazier,CAR,1,WR,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,8.0,0.0,0.0,2018
38,Jakeem Grant,MIA,10,WR,31,21,1,268,0,2,1,1,67.7,8.81,8.65,12.76,6.76,1,0,5,0,0,0,5.0,1.0,0,16.9,0.18,2.26,2018
39,Rashard Higgins,CLV,13,WR,51,39,1,572,0,4,0,3,76.5,11.98,11.22,14.67,3.9,0,0,0,0,0,0,0.0,0.0,0,4.1,0.21,2.58,2018
40,Michael Thomas,NO,16,WR,146,125,2,1405,4,9,1,3,85.6,7.93,9.62,11.24,4.02,0,0,0,0,0,0,0.0,0.0,0,0.9,0.28,2.06,2018
41,Josh Doctson,WAS,15,WR,75,44,0,532,0,2,0,3,58.7,15.37,7.09,12.09,2.89,0,0,0,0,0,0,0.0,0.0,0,2.7,0.1,1.98,2018
