,RK_TEAM,TEAM,OFFENSEDVOA,LASTYEAR,WEI.OFFENSE,RK_WEI.OFFENSE,PASSOFF,RK_PASSOFF,RUSHOFF,RK_RUSHOFF,NON-ADJTOTAL,NON-ADJPASS,NON-ADJRUSH,VAR,RK_VAR,SCHED,RK_SCHED
0,1,BAL,27.5,15,31.8,1,47.4,1,21.1,1,27.6,48.4,20.5,7.4,18,-1.8,7
1,2,DAL,24.0,24,21.2,4,39.3,5,8.7,3,24.2,41.0,6.9,3.8,2,-0.6,15
2,3,KC,22.7,1,20.8,5,43.7,2,-1.4,14,22.8,42.8,0.2,4.7,6,0.7,21
3,4,NO,21.3,4,27.8,2,43.7,3,-0.1,12,22.3,45.3,0.1,7.5,19,0.3,18
4,5,SEA,17.4,9,11.8,6,43.6,4,2.7,6,11.3,36.3,-2.4,10.1,27,-4.2,3
5,6,TEN,12.9,22,24.7,3,29.6,6,7.9,5,16.9,34.5,11.1,13.9,30,3.1,31
6,7,SF,7.2,27,4.4,8,24.4,8,-0.5,13,7.0,24.0,-0.6,6.8,12,-0.1,16
7,8,GB,6.5,7,4.1,9,17.1,11,8.3,4,5.5,15.1,8.9,6.9,13,0.4,20
8,9,OAK,5.6,25,3.1,11,24.9,7,-7.3,20,6.1,25.6,-7.1,8.4,23,1.2,23
9,10,MIN,4.6,18,2.7,13,18.2,10,-1.8,15,6.7,22.1,-1.5,5.9,8,2.6,28
10,11,NE,4.1,5,-0.6,15,14.9,14,-2.9,16,5.9,18.3,-2.8,6.2,9,1.4,24
11,12,LAC,3.8,3,3.7,10,22.0,9,-10.9,24,4.7,22.7,-9.8,8.2,21,2.2,26
12,13,ARI,3.8,32,9.8,7,1.2,21,15.5,2,1.1,-3.8,16.0,10.9,29,-2.6,5
13,14,PHI,2.6,16,-0.2,14,10.8,17,0.4,10,4.8,14.5,0.8,7.3,17,1.4,25
14,15,ATL,2.0,8,2.9,12,16.3,12,-10.5,23,0.5,14.0,-10.6,7.2,16,-1.4,8
15,16,LAR,0.3,2,-1.7,17,15.1,13,-7.5,21,-0.4,14.8,-8.8,8.2,22,-2.4,6
16,17,HOU,0.3,21,-2.8,18,13.6,15,0.0,11,1.5,11.8,5.0,9.2,26,0.1,17
17,18,DET,-2.9,23,-6.2,21,13.2,16,-13.1,26,-5.1,11.1,-15.4,4.7,5,-0.7,13
18,19,IND,-3.1,10,-9.2,24,-2.4,25,1.5,8,-0.4,0.8,3.8,7.2,15,3.5,32
19,20,CLE,-4.6,17,-1.2,16,1.9,19,0.5,9,-7.6,-1.6,-2.2,9.0,25,-4.7,1
20,21,TB,-7.3,12,-8.6,22,5.0,18,-13.4,27,-6.1,6.7,-12.8,6.3,10,2.7,29
21,22,BUF,-7.3,31,-5.2,19,-0.8,23,-3.1,17,-4.6,1.7,-0.1,5.1,7,-0.8,12
22,23,NYG,-7.3,13,-8.9,23,-4.9,26,-5.0,18,-8.8,-3.6,-10.6,4.4,4,-1.1,10
23,24,JAX,-9.5,30,-16.1,28,0.1,22,-14.6,28,-8.8,1.0,-13.9,9.0,24,2.6,27
24,25,CHI,-10.1,20,-9.4,25,1.8,20,-16.2,29,-11.6,1.2,-18.9,2.5,1,1.1,22
25,26,DEN,-10.7,14,-13.5,26,-8.2,27,-6.3,19,-9.0,-7.3,-3.4,8.0,20,2.7,30
26,27,MIA,-13.0,26,-5.7,20,-0.9,24,-26.9,32,-13.9,-2.3,-27.1,10.8,28,-4.4,2
27,28,CAR,-14.4,11,-20.1,30,-20.9,31,2.4,7,-17.1,-22.8,-1.6,7.1,14,-0.6,14
28,29,CIN,-16.5,19,-15.6,27,-12.9,28,-9.7,22,-19.4,-18.0,-9.6,6.7,11,-3.8,4
29,30,WAS,-20.5,28,-20.6,31,-18.2,29,-11.5,25,-18.5,-16.0,-9.8,18.0,32,-1.2,9
30,31,NYJ,-25.0,29,-17.9,29,-21.9,32,-23.4,31,-21.4,-17.9,-20.3,14.1,31,0.3,19
31,32,PIT,-25.4,6,-33.6,32,-18.3,30,-22.5,30,-22.8,-13.8,-22.3,4.1,3,-0.9,11
