"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Brandon Zylstra","CAR","7","WR","12","8","1","106","0","0","0","1","66.7","13.5","8.83","13.25","1.63","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","14.6","0.21","1.82"
"Alexander Hollins","MIN","5","WR","4","2","0","46","0","0","0","1","50","19","11.5","23","2.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5.6","0.08","2.8"
"Darious Williams","LA","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Keelan Cole","JAX","16","WR","36","24","2","361","0","3","0","1","66.7","12.08","10.03","15.04","4.38","","","","","","","","","","","","1","0","6","0","0","0","6","5","0","0","0","","","","","","","","","0","1","66.7","0.18","2.67"
"Gary Jennings","MIA","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"A.J. Brown","TEN","16","WR","84","52","8","1051","5","8","4","4","61.9","13.56","12.51","20.21","8.88","","","","","","","","","","","","3","1","60","0","1","1","20","17.33","1","0.33","1","","","","","","","","","0","0","191.1","0.28","3.47"
"Deebo Samuel","SF","15","WR","77","57","1","802","3","3","1","10","74","7.61","10.42","14.07","8.49","","","","","","","","","","","","14","0","159","0","3","0","11.36","4.93","7","0.5","2","","","","","","","","","1","1","160.6","0.23","2.26"
"D.J. Moore","CAR","15","WR","130","87","4","1175","4","4","2","5","66.9","11.74","9.04","13.51","4.51","","","","","","","","","","","","6","0","40","0","0","0","6.67","3.5","2","0.33","2","","","","","","","","","0","1","189","0.21","2.03"
"Calvin Ridley","ATL","13","WR","91","63","0","866","2","7","0","3","69.2","13.88","9.52","13.75","2.24","","","","","","","","","","","","2","0","34","0","0","0","17","3","0","0","0","","","","","","","","","1","2","163.5","0.23","2.52"
"Robert Foster","BUF","11","WR","17","3","0","64","0","0","0","0","17.6","25.88","3.76","21.33","11","","","","","","","","","","","","2","0","29","0","0","0","14.5","1.5","0","0","0","","","","","","","","","0","0","10.8","0.05","2.16"
"Terry McLaurin","WAS","14","WR","91","58","3","919","3","7","2","7","63.7","14.57","10.1","15.84","3.83","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","1","162.9","0.21","2.81"
"Tre'Quan Smith","NO","11","WR","25","18","0","234","0","5","0","1","72","9.64","9.36","13","6.28","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","1","62.4","0.14","3.47"
"Miles Boykin","BLT","16","WR","22","13","1","198","0","3","0","2","59.1","17.95","9","15.23","1.31","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","44.3","0.1","3.41"
"Courtland Sutton","DEN","16","WR","115","72","6","1112","2","6","1","3","62.6","12.31","9.67","15.44","5.01","","","","","","","","","","","","3","0","17","0","0","0","5.67","2.67","1","0.33","2","","","","","","","","","0","0","184.9","0.2","2.47"
"Antonio Callaway","CLV","4","WR","15","8","1","89","0","0","0","1","53.3","10.93","5.93","11.13","5.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","12.9","0.09","1.61"
"Jaleel Scott","BLT","1","WR","3","1","0","6","0","0","0","0","33.3","15.67","2","6","6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.1","0.06","1.1"
"Jeff Smith","NYJ","1","WR","2","1","0","12","0","0","0","0","50","23","6","12","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.7","0.12","1.7"
"Travis Fulgham","DET","3","WR","3","0","0","0","0","0","0","2","0","20.33","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Ventell Bryant","DAL","8","WR","1","1","0","15","0","1","0","0","100","18","15","15","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","8","0.35","8"
"D.K. Metcalf","SEA","16","WR","97","58","4","900","1","7","2","8","59.8","13.72","9.28","15.52","4.83","","","","","","","","","","","","2","0","11","0","0","0","5.5","3","2","1","3","","","","","","","","","1","2","162.1","0.17","2.7"
