"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Vyncint Smith","HST","6","WR","9","5","0","91","0","1","0","1","55.6","23.33","10.11","18.2","0.8","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","17.6","0.1","3.52"
"Keelan Cole","JAX","16","WR","64","38","0","491","1","1","0","6","59.4","10.19","7.67","12.92","3.63","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","2","","","","","","","","","0","0","74.1","0.11","1.95"
"Derrick Willies","CLV","4","WR","5","3","0","61","0","0","0","0","60","11.8","12.2","20.33","11","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","7.6","0.25","2.53"
"D.J. Moore","CAR","16","WR","76","54","3","781","1","2","1","4","71.1","9.62","10.28","14.46","7.91","","","","","","","","","","","","13","0","172","0","0","0","13.23","7.77","6","0.46","3","","","","","","","","","0","0","134.3","0.18","2"
"Calvin Ridley","ATL","16","WR","91","64","4","821","1","10","3","8","70.3","10.38","9.02","12.83","5.73","","","","","","","","","","","","5","0","24","0","0","0","4.8","3","1","0.2","2","","","","","","","","","0","0","176.5","0.27","2.56"
"Robert Foster","BUF","13","WR","44","27","4","541","3","3","2","1","61.4","20.95","12.3","20.04","5.93","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","85.6","0.19","3.17"
"Auden Tate","CIN","6","WR","12","4","0","35","0","0","0","1","33.3","10.83","2.92","8.75","0.75","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5.5","0.07","1.38"
"Courtland Sutton","DEN","16","WR","79","42","3","704","0","4","0","9","53.2","15.57","8.91","16.76","3.98","","","","","","","","","","","","1","0","-1","0","0","0","-1","2","0","0","0","","","","","","","","","0","1","115.3","0.14","2.68"
"Allen Lazard","GB","1","WR","1","1","0","7","0","0","0","0","100","5","7","7","2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.2","1.2","1.2"
"Dante Pettis","SF","11","WR","40","27","1","467","1","5","1","1","67.5","12.13","11.68","17.3","7.93","","","","","","","","","","","","1","0","-2","0","0","0","-2","1","0","0","0","","","","","","","","","0","0","90","0.2","3.21"
"Antonio Callaway","CLV","16","WR","78","43","3","586","0","5","1","6","55.1","14.51","7.51","13.63","5.42","","","","","","","","","","","","2","0","7","0","0","0","3.5","0.5","0","0","1","","","","","","","","","1","3","110.8","0.14","2.46"
"Malik Turner","SEA","6","WR","2","2","0","20","0","0","0","0","100","3","10","10","7","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3","0.07","1.5"
"Trent Sherfield","ARZ","9","WR","27","19","0","210","0","1","0","1","70.4","11","7.78","11.05","1.95","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","36.5","0.11","1.92"
"James Washington","PIT","14","WR","36","16","1","217","0","1","0","1","44.4","17.33","6.03","13.56","3.44","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","35.7","0.07","2.23"
"Christian Kirk","ARZ","12","WR","65","43","2","590","0","3","2","3","66.2","10.03","9.08","13.72","5.33","","","","","","","","","","","","3","0","35","0","0","0","11.67","1","0","0","0","","","","","","","","","0","1","102","0.19","2.22"
"Russell Gage","ATL","10","WR","10","6","0","63","0","0","0","2","60","10.2","6.3","10.5","3.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","9.3","0.15","1.55"
"Chris Lacy","DET","1","WR","1","0","0","0","0","0","0","0","0","10","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Richie James Jr.","SF","11","WR","13","9","1","130","0","1","0","1","69.2","4.85","10","14.44","11.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","23.5","0.12","2.61"
"KhaDarel Hodge","LA","13","WR","3","2","0","17","0","0","0","0","66.7","7.67","5.67","8.5","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2.7","0.03","1.35"
"Michael Gallup","DAL","16","WR","66","33","2","507","0","2","1","3","50","14.38","7.68","15.36","5.09","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","1","1","79.2","0.11","2.4"
"Marcell Ateman","OAK","7","WR","30","15","0","154","0","1","0","2","50","11.97","5.13","10.27","2.27","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","28.9","0.08","1.93"
"Victor Bolden Jr.","BUF","4","WR","4","1","0","10","0","0","0","0","25","12.75","2.5","10","1","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.5","0.02","1.5"
"Keon Hatcher","OAK","2","WR","2","1","0","8","0","0","0","0","50","7","4","8","8","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.3","0.22","1.3"
"Bobo Wilson","TB","5","WR","5","4","0","52","0","0","0","0","80","10.8","10.4","13","5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","7.2","0.1","1.8"
"Malachi Dupre","ARZ","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Noah Brown","DAL","8","WR","8","5","0","54","0","0","0","0","62.5","10.25","6.75","10.8","4.2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","7.9","0.08","1.58"
